department,position,education_level,field_of_study,employees,avg_basic_salary,avg_total_compensation
"Finance Department",Manager,"Bachelor's Degree","Business Administration",56,9280.09,10947.86
"Product Management Department",Analyst,"Bachelor's Degree","Business Administration",56,8916.25,10591.48
"Product Management Department",Consultant,"Master's Degree","Business Administration",56,8782.80,10416.32
"Marketing Department",Executive,"Bachelor's Degree","Business Administration",56,8676.95,10383.16
"Human Resources Department",Executive,"Bachelor's Degree","Business Administration",56,8633.79,10244.41
"Customer Support Department",Executive,"Bachelor's Degree","Business Administration",56,8355.04,10181.55
"Finance Department",Analyst,"Bachelor's Degree","Business Administration",56,7962.09,9643.63
"Data and Analytics Department",Assistant,"Bachelor's Degree","Business Administration",55,9025.95,10670.07
"Customer Support Department",Manager,"Master's Degree","Business Administration",55,8603.87,10091.18
"Customer Support Department",Consultant,"Bachelor's Degree","Business Administration",54,9112.28,10505.61
"Engineering Department",Manager,"Master's Degree","Business Administration",54,8778.54,10492.15
"Product Management Department",Assistant,"Bachelor's Degree","Business Administration",54,8487.78,10227.41
"Finance Department",Consultant,"Bachelor's Degree","Business Administration",54,8175.85,9796.48
"Operations Department",Assistant,"Bachelor's Degree","Business Administration",53,8272.60,10038.45
"Human Resources Department",Manager,"Bachelor's Degree","Business Administration",53,8296.42,9852.25
"Operations Department",Executive,"Bachelor's Degree","Business Administration",52,8667.42,10234.29
"Operations Department",Consultant,"Bachelor's Degree","Business Administration",52,8573.23,10223.98
"Operations Department",Analyst,"Bachelor's Degree","Business Administration",52,8330.31,10155.12
"Engineering Department",Consultant,"Bachelor's Degree","Business Administration",51,10052.94,11594.31
"Marketing Department",Manager,"Master's Degree","Business Administration",51,9219.63,10939.35
"Engineering Department",Assistant,"Master's Degree","Business Administration",51,8969.02,10569.78
"Engineering Department",Executive,"Bachelor's Degree","Business Administration",49,9260.80,11050.63
"Product Management Department",Analyst,"Master's Degree","Business Administration",49,8726.35,10532.00
"Human Resources Department",Developer,"Bachelor's Degree","Business Administration",47,9885.77,11440.13
"Product Management Department",Manager,"Master's Degree","Information Technology",47,9377.89,11047.00
"Marketing Department",Assistant,"Bachelor's Degree","Business Administration",47,9040.89,10739.21
"Operations Department",Developer,"Master's Degree",Engineering,47,8999.36,10457.74
"Customer Support Department",Assistant,"Master's Degree","Business Administration",47,8514.47,10028.04
"Engineering Department",Analyst,"Bachelor's Degree","Business Administration",47,8176.17,9830.17
"Product Management Department",Manager,"Master's Degree",Engineering,47,7939.79,9503.74
"Human Resources Department",Consultant,"Master's Degree",Economics,46,9273.59,11016.15
"Data and Analytics Department",Executive,"Master's Degree","Information Technology",45,8416.20,10117.40
"Data and Analytics Department",Consultant,"Master's Degree","Business Administration",45,8093.24,9667.38
"Product Management Department",Manager,"Master's Degree","Computer Science",44,8968.27,10757.98
"Customer Support Department",Executive,"Master's Degree","Data Analytics",44,8095.23,9792.80
"Marketing Department",Analyst,"Master's Degree",Engineering,44,8190.05,9757.66
"Marketing Department",Consultant,"Master's Degree","Computer Science",42,9284.90,10927.00
"Marketing Department",Assistant,"Master's Degree","Information Technology",42,7470.43,9096.60
"Human Resources Department",Assistant,Diploma,"Business Administration",41,9307.66,11010.32
"Customer Support Department",Executive,"Master's Degree","Information Technology",41,9168.32,10784.85
"Customer Support Department",Executive,"Bachelor's Degree","Information Technology",41,8937.15,10761.61
"Data and Analytics Department",Executive,"Master's Degree",Engineering,41,8769.12,10458.61
"Customer Support Department",Assistant,"Bachelor's Degree","Information Technology",41,8465.29,10229.56
"Finance Department",Assistant,"Master's Degree","Computer Science",41,8494.39,10214.68
"Operations Department",Assistant,"Bachelor's Degree","Computer Science",41,8269.73,10028.15
"Marketing Department",Consultant,"Bachelor's Degree","Data Analytics",41,7965.88,9576.98
"Data and Analytics Department",Assistant,"Master's Degree",Engineering,41,7891.07,9469.02
"Data and Analytics Department",Executive,"Bachelor's Degree","Data Analytics",41,7501.15,8933.07
"Human Resources Department",Consultant,"Doctoral Degree","Business Administration",40,9822.05,11726.83
"Data and Analytics Department",Analyst,"Master's Degree",Engineering,40,9846.20,11600.30
"Human Resources Department",Consultant,"Master's Degree",Engineering,40,9712.25,11302.25
"Human Resources Department",Assistant,"Master's Degree","Data Analytics",40,8918.38,10711.68
"Customer Support Department",Consultant,"Bachelor's Degree","Computer Science",40,8934.25,10413.58
"Marketing Department",Assistant,"Master's Degree",Economics,40,8788.95,10388.90
"Human Resources Department",Consultant,"Bachelor's Degree","Information Technology",40,8691.80,10310.50
"Product Management Department",Consultant,"Master's Degree","Data Analytics",40,8557.25,10184.25
"Human Resources Department",Analyst,"Master's Degree","Information Technology",40,8487.83,10132.08
"Finance Department",Assistant,"Bachelor's Degree",Economics,40,8450.35,9952.55
"Customer Support Department",Analyst,"Master's Degree",Economics,40,8157.43,9947.63
"Data and Analytics Department",Analyst,"Bachelor's Degree",Economics,40,8167.33,9829.58
"Human Resources Department",Assistant,"Master's Degree",Engineering,39,9756.51,11445.74
"Customer Support Department",Manager,Diploma,"Business Administration",39,9575.26,11399.67
"Engineering Department",Developer,"Master's Degree","Computer Science",39,9554.62,11356.92
"Customer Support Department",Analyst,"Bachelor's Degree","Information Technology",39,9370.90,10964.85
"Engineering Department",Assistant,"Master's Degree","Data Analytics",39,9218.44,10963.77
"Marketing Department",Developer,"Master's Degree",Economics,39,8926.51,10752.59
"Engineering Department",Consultant,"Bachelor's Degree","Information Technology",39,9059.82,10715.85
"Customer Support Department",Manager,"Bachelor's Degree","Data Analytics",39,9168.21,10712.46
"Engineering Department",Consultant,"Master's Degree",Engineering,39,8909.90,10663.56
"Marketing Department",Assistant,"Master's Degree",Engineering,39,8893.23,10620.56
"Operations Department",Developer,"Master's Degree","Data Analytics",39,8828.87,10562.74
"Engineering Department",Assistant,"Master's Degree","Information Technology",39,8986.18,10447.08
"Product Management Department",Developer,"Bachelor's Degree","Information Technology",39,8657.15,10321.28
"Product Management Department",Executive,"Master's Degree",Economics,39,8405.44,10020.23
"Product Management Department",Developer,"Bachelor's Degree","Data Analytics",39,8282.36,9834.28
"Product Management Department",Analyst,"Master's Degree","Data Analytics",39,8188.74,9637.92
"Finance Department",Consultant,"Master's Degree",Engineering,38,9720.26,11394.08
"Marketing Department",Assistant,"Bachelor's Degree","Computer Science",38,9467.61,11210.11
"Engineering Department",Manager,"Bachelor's Degree","Data Analytics",38,9416.74,11172.00
"Product Management Department",Analyst,"Master's Degree",Engineering,38,9387.68,11069.87
"Data and Analytics Department",Analyst,"Master's Degree",Economics,38,9370.74,10969.08
"Data and Analytics Department",Executive,"Master's Degree",Economics,38,9197.58,10840.21
"Human Resources Department",Analyst,"Doctoral Degree","Business Administration",38,9163.29,10792.34
"Human Resources Department",Executive,"Bachelor's Degree","Computer Science",38,9019.11,10644.79
"Product Management Department",Executive,"Bachelor's Degree","Data Analytics",38,9012.13,10616.84
"Product Management Department",Analyst,"Master's Degree","Information Technology",38,8955.89,10379.76
"Operations Department",Manager,"Bachelor's Degree","Data Analytics",38,8794.21,10323.11
"Operations Department",Consultant,Diploma,"Business Administration",38,8715.61,10243.03
"Engineering Department",Analyst,"Master's Degree","Computer Science",38,8518.24,10044.39
"Finance Department",Developer,"Master's Degree",Economics,38,7527.74,9217.79
"Marketing Department",Analyst,"Bachelor's Degree","Computer Science",37,9690.84,11339.08
"Data and Analytics Department",Executive,"Bachelor's Degree",Economics,37,9531.41,11248.86
"Engineering Department",Manager,"Master's Degree",Engineering,37,9620.62,11141.70
"Engineering Department",Consultant,"Bachelor's Degree",Economics,37,9060.41,10731.73
"Human Resources Department",Consultant,"Bachelor's Degree",Economics,37,9007.27,10632.11
"Customer Support Department",Assistant,"Master's Degree","Data Analytics",37,8956.38,10624.38
"Human Resources Department",Assistant,"Bachelor's Degree","Computer Science",37,8929.95,10576.38
"Customer Support Department",Analyst,"Master's Degree","Data Analytics",37,8897.54,10562.41
"Human Resources Department",Consultant,"Bachelor's Degree","Data Analytics",37,8638.51,10507.59
"Human Resources Department",Manager,"Bachelor's Degree","Computer Science",37,8820.46,10498.08
"Finance Department",Executive,"Master's Degree",Engineering,37,8728.84,10418.89
"Operations Department",Consultant,"Master's Degree","Information Technology",37,8564.11,10370.24
"Human Resources Department",Executive,"Bachelor's Degree","Information Technology",37,8661.62,10158.76
"Customer Support Department",Assistant,"Master's Degree","Information Technology",37,8284.68,9981.89
"Engineering Department",Executive,"Master's Degree",Engineering,37,8302.95,9861.38
"Data and Analytics Department",Assistant,"Bachelor's Degree","Computer Science",37,8208.51,9598.86
"Finance Department",Manager,Diploma,"Business Administration",37,7859.57,9547.41
"Data and Analytics Department",Analyst,"Master's Degree","Data Analytics",37,7853.78,9298.89
"Engineering Department",Consultant,"Bachelor's Degree","Computer Science",36,9761.56,11393.75
"Finance Department",Analyst,"Master's Degree","Data Analytics",36,9507.33,11153.14
"Finance Department",Executive,"Master's Degree","Computer Science",36,9457.17,11037.11
"Finance Department",Manager,"Master's Degree","Data Analytics",36,9033.42,10931.42
"Finance Department",Consultant,"Master's Degree","Data Analytics",36,9400.44,10789.08
"Engineering Department",Executive,"Bachelor's Degree","Information Technology",36,9148.17,10731.75
"Operations Department",Manager,"Master's Degree",Engineering,36,8999.22,10567.06
"Customer Support Department",Developer,"Bachelor's Degree","Computer Science",36,8843.14,10531.25
"Marketing Department",Executive,"Bachelor's Degree","Information Technology",36,8861.36,10412.28
"Data and Analytics Department",Executive,"Bachelor's Degree","Computer Science",36,8532.06,10408.64
"Data and Analytics Department",Consultant,"Bachelor's Degree","Data Analytics",36,8340.97,10289.33
"Product Management Department",Analyst,"Master's Degree","Computer Science",36,8945.86,10284.75
"Customer Support Department",Consultant,"Bachelor's Degree",Economics,36,8555.50,10283.28
"Human Resources Department",Developer,"Master's Degree","Computer Science",36,8550.25,10240.22
"Customer Support Department",Developer,"Bachelor's Degree","Information Technology",36,8596.78,10226.86
"Finance Department",Developer,"Bachelor's Degree",Economics,36,8635.78,10132.81
"Engineering Department",Executive,"Bachelor's Degree","Computer Science",36,8512.00,9981.97
"Customer Support Department",Analyst,"Master's Degree",Engineering,36,8354.61,9952.33
"Operations Department",Developer,"Master's Degree","Computer Science",36,8229.89,9945.06
"Finance Department",Consultant,"Master's Degree","Computer Science",36,8374.42,9807.17
"Operations Department",Consultant,"Master's Degree","Computer Science",36,7884.81,9586.86
"Product Management Department",Manager,"Bachelor's Degree","Computer Science",36,7673.08,9270.97
"Marketing Department",Analyst,"Bachelor's Degree","Data Analytics",36,7369.81,8936.19
"Engineering Department",Manager,"Master's Degree","Computer Science",35,9269.31,11208.14
"Marketing Department",Manager,"Doctoral Degree","Business Administration",35,9424.66,11134.11
"Engineering Department",Developer,"Bachelor's Degree",Economics,35,9556.89,11111.34
"Marketing Department",Executive,"Master's Degree",Engineering,35,9237.26,11056.29
"Marketing Department",Developer,"Master's Degree","Information Technology",35,9171.34,10983.37
"Data and Analytics Department",Developer,"Master's Degree",Engineering,35,9212.86,10935.23
"Customer Support Department",Executive,"Bachelor's Degree",Economics,35,9380.20,10905.34
"Operations Department",Assistant,"Master's Degree",Engineering,35,9237.97,10874.80
"Marketing Department",Consultant,"Bachelor's Degree","Computer Science",35,9272.03,10819.51
"Data and Analytics Department",Assistant,Diploma,"Business Administration",35,8921.69,10606.11
"Customer Support Department",Manager,"Doctoral Degree","Business Administration",35,9022.31,10583.63
"Data and Analytics Department",Consultant,"Master's Degree",Economics,35,9050.51,10568.31
"Human Resources Department",Executive,"Bachelor's Degree",Economics,35,8957.97,10563.77
"Product Management Department",Executive,"Master's Degree","Computer Science",35,8835.57,10531.20
"Human Resources Department",Consultant,"Master's Degree","Data Analytics",35,8685.94,10453.29
"Customer Support Department",Assistant,"Doctoral Degree","Business Administration",35,8625.83,10146.54
"Data and Analytics Department",Consultant,"Master's Degree","Data Analytics",35,8598.20,10135.89
"Marketing Department",Analyst,"Master's Degree",Economics,35,8524.11,10102.00
"Product Management Department",Analyst,"Bachelor's Degree","Information Technology",35,8249.26,10098.37
"Data and Analytics Department",Executive,"Bachelor's Degree","Information Technology",35,8223.86,10069.80
"Marketing Department",Consultant,"Bachelor's Degree","Information Technology",35,8351.74,10064.00
"Operations Department",Assistant,"Master's Degree","Information Technology",35,8185.14,10037.17
"Engineering Department",Executive,"Bachelor's Degree","Data Analytics",35,8048.91,9936.49
"Marketing Department",Developer,"Bachelor's Degree","Data Analytics",35,8287.97,9809.11
"Product Management Department",Analyst,"Bachelor's Degree","Computer Science",35,8097.29,9788.17
"Data and Analytics Department",Developer,"Master's Degree","Computer Science",35,8216.71,9715.14
"Product Management Department",Manager,"Master's Degree",Economics,35,8112.14,9621.97
"Finance Department",Developer,"Master's Degree",Engineering,35,7800.09,9371.80
"Product Management Department",Consultant,"Master's Degree",Engineering,35,7614.74,9284.49
"Marketing Department",Consultant,"Bachelor's Degree",Economics,34,9786.35,11513.68
"Marketing Department",Manager,"Master's Degree","Information Technology",34,9368.24,11383.41
"Product Management Department",Assistant,"Bachelor's Degree","Computer Science",34,9699.97,11356.65
"Human Resources Department",Developer,"Bachelor's Degree","Information Technology",34,9714.59,11321.62
"Finance Department",Analyst,Diploma,"Business Administration",34,9605.21,11193.29
"Finance Department",Executive,"Bachelor's Degree","Computer Science",34,9206.03,10996.03
"Marketing Department",Executive,"Master's Degree",Economics,34,9328.68,10962.79
"Finance Department",Manager,"Master's Degree",Engineering,34,9317.26,10881.41
"Customer Support Department",Executive,"Doctoral Degree","Business Administration",34,9162.85,10824.94
"Human Resources Department",Manager,"Bachelor's Degree","Information Technology",34,9214.85,10822.79
"Product Management Department",Analyst,Diploma,"Business Administration",34,9150.09,10795.03
"Customer Support Department",Analyst,"Bachelor's Degree",Economics,34,8780.50,10583.74
"Customer Support Department",Developer,"Master's Degree",Economics,34,8709.94,10339.68
"Human Resources Department",Executive,"Master's Degree",Economics,34,8749.38,10290.06
"Finance Department",Developer,"Master's Degree","Information Technology",34,8431.91,10135.06
"Customer Support Department",Developer,"Master's Degree",Engineering,34,8337.00,10099.12
"Finance Department",Manager,"Bachelor's Degree","Information Technology",34,8220.85,10051.53
"Operations Department",Analyst,"Master's Degree",Economics,34,8434.29,10044.76
"Finance Department",Developer,Diploma,"Business Administration",34,8266.18,10024.88
"Human Resources Department",Developer,"Master's Degree","Information Technology",34,8493.56,9982.97
"Human Resources Department",Consultant,"Bachelor's Degree","Computer Science",34,8255.97,9854.32
"Customer Support Department",Consultant,"Master's Degree",Economics,34,8108.18,9829.56
"Data and Analytics Department",Assistant,"Bachelor's Degree","Information Technology",34,8163.32,9828.12
"Customer Support Department",Assistant,"Bachelor's Degree",Economics,34,7942.26,9773.79
"Finance Department",Consultant,Diploma,"Business Administration",34,8033.71,9633.82
"Operations Department",Executive,Diploma,"Business Administration",34,7197.94,9080.56
"Operations Department",Consultant,"Master's Degree","Data Analytics",33,9494.36,11268.79
"Human Resources Department",Consultant,"Bachelor's Degree",Engineering,33,9576.30,11214.15
"Product Management Department",Analyst,"Bachelor's Degree",Economics,33,9312.27,11167.64
"Marketing Department",Assistant,"Master's Degree","Data Analytics",33,9264.52,11049.36
"Finance Department",Developer,"Master's Degree","Computer Science",33,9400.73,11017.67
"Marketing Department",Executive,"Master's Degree","Data Analytics",33,9080.27,10982.64
"Data and Analytics Department",Developer,"Master's Degree","Information Technology",33,9446.33,10929.39
"Data and Analytics Department",Consultant,"Master's Degree","Computer Science",33,9192.85,10863.94
"Marketing Department",Manager,"Master's Degree",Engineering,33,9282.82,10737.15
"Engineering Department",Assistant,"Bachelor's Degree",Economics,33,8924.76,10659.70
"Finance Department",Executive,Diploma,"Business Administration",33,8950.52,10613.61
"Finance Department",Manager,"Bachelor's Degree","Data Analytics",33,9008.58,10587.52
"Operations Department",Manager,"Master's Degree","Computer Science",33,8703.42,10527.52
"Product Management Department",Assistant,"Master's Degree",Economics,33,8783.70,10521.94
"Marketing Department",Manager,"Master's Degree","Computer Science",33,8786.76,10471.03
"Operations Department",Analyst,Diploma,"Business Administration",33,8694.79,10448.15
"Marketing Department",Developer,"Master's Degree","Data Analytics",33,8768.79,10361.06
"Customer Support Department",Executive,"Bachelor's Degree","Data Analytics",33,8697.33,10309.45
"Product Management Department",Assistant,"Bachelor's Degree","Data Analytics",33,8683.48,10282.42
"Engineering Department",Executive,Diploma,"Business Administration",33,8631.70,10219.30
"Finance Department",Analyst,"Bachelor's Degree","Data Analytics",33,8337.97,10218.24
"Finance Department",Manager,"Master's Degree","Computer Science",33,8603.36,10194.24
"Marketing Department",Manager,"Bachelor's Degree","Computer Science",33,8443.36,9983.85
"Engineering Department",Analyst,Diploma,"Business Administration",33,8236.24,9861.52
"Data and Analytics Department",Manager,"Master's Degree",Engineering,33,8466.73,9854.15
"Operations Department",Developer,Diploma,"Business Administration",33,8096.09,9824.21
"Product Management Department",Executive,"Master's Degree",Engineering,33,8263.82,9820.48
"Data and Analytics Department",Analyst,"Bachelor's Degree","Information Technology",33,7954.33,9589.82
"Finance Department",Assistant,"Master's Degree","Information Technology",33,7604.61,9171.82
"Finance Department",Analyst,"Bachelor's Degree","Computer Science",33,7010.76,8923.82
"Customer Support Department",Manager,"Master's Degree",Economics,32,10434.38,12077.34
"Human Resources Department",Consultant,"Master's Degree","Information Technology",32,9676.94,11509.91
"Marketing Department",Executive,Diploma,"Business Administration",32,9669.03,11347.53
"Data and Analytics Department",Consultant,"Bachelor's Degree","Computer Science",32,9605.56,11338.19
"Customer Support Department",Executive,"Master's Degree",Engineering,32,9603.75,11306.31
"Product Management Department",Developer,"Master's Degree","Information Technology",32,9491.16,11146.56
"Customer Support Department",Analyst,"Master's Degree","Computer Science",32,9437.19,11115.00
"Data and Analytics Department",Consultant,"Master's Degree",Engineering,32,9495.00,11088.69
"Finance Department",Manager,"Master's Degree",Economics,32,9282.84,10819.25
"Data and Analytics Department",Executive,Diploma,"Business Administration",32,8968.41,10774.06
"Human Resources Department",Analyst,"Master's Degree","Data Analytics",32,9112.31,10770.59
"Marketing Department",Executive,"Master's Degree","Information Technology",32,9190.88,10753.47
"Operations Department",Assistant,"Bachelor's Degree","Information Technology",32,9190.88,10745.28
"Data and Analytics Department",Analyst,"Bachelor's Degree","Data Analytics",32,9102.13,10703.16
"Finance Department",Executive,"Master's Degree",Economics,32,9206.44,10672.25
"Operations Department",Executive,"Master's Degree","Information Technology",32,9023.06,10633.28
"Human Resources Department",Developer,"Master's Degree",Engineering,32,8734.78,10604.78
"Engineering Department",Manager,"Master's Degree","Data Analytics",32,9053.53,10566.94
"Customer Support Department",Developer,"Master's Degree","Data Analytics",32,8652.13,10514.19
"Marketing Department",Developer,"Bachelor's Degree",Economics,32,8605.19,10387.28
"Customer Support Department",Assistant,"Master's Degree",Engineering,32,8588.47,10384.38
"Finance Department",Consultant,"Bachelor's Degree","Computer Science",32,8785.13,10330.19
"Customer Support Department",Developer,"Master's Degree","Computer Science",32,8607.09,10313.06
"Human Resources Department",Analyst,"Master's Degree",Economics,32,8743.88,10188.22
"Finance Department",Manager,"Bachelor's Degree",Economics,32,8471.22,10180.28
"Data and Analytics Department",Executive,"Bachelor's Degree",Engineering,32,8449.63,9987.59
"Marketing Department",Consultant,"Master's Degree",Engineering,32,8272.84,9958.34
"Product Management Department",Consultant,"Master's Degree","Computer Science",32,8206.41,9953.63
"Data and Analytics Department",Executive,"Master's Degree","Computer Science",32,8137.53,9878.41
"Human Resources Department",Consultant,Diploma,"Business Administration",32,8194.47,9863.50
"Marketing Department",Assistant,"Master's Degree","Computer Science",32,8080.72,9802.16
"Data and Analytics Department",Developer,Diploma,"Business Administration",32,8086.16,9796.47
"Human Resources Department",Analyst,Diploma,"Business Administration",32,8146.75,9789.09
"Data and Analytics Department",Developer,"Master's Degree",Economics,32,8226.41,9766.19
"Operations Department",Consultant,"Bachelor's Degree","Data Analytics",32,8168.28,9754.06
"Finance Department",Executive,"Bachelor's Degree","Information Technology",32,8149.88,9602.56
"Operations Department",Manager,"Bachelor's Degree","Information Technology",32,6942.53,8524.75
"Product Management Department",Executive,Diploma,"Business Administration",31,10451.42,12134.35
"Data and Analytics Department",Developer,"Bachelor's Degree",Economics,31,10101.61,11754.26
"Data and Analytics Department",Manager,"Master's Degree","Information Technology",31,9929.65,11688.97
"Operations Department",Developer,"Bachelor's Degree","Information Technology",31,9984.94,11618.06
"Human Resources Department",Executive,"Master's Degree","Information Technology",31,9458.32,11312.19
"Human Resources Department",Assistant,"Master's Degree","Computer Science",31,9392.65,11119.55
"Product Management Department",Consultant,"Master's Degree","Information Technology",31,9438.94,11017.45
"Finance Department",Executive,"Bachelor's Degree",Economics,31,9151.03,10926.42
"Customer Support Department",Assistant,Diploma,"Business Administration",31,9297.32,10858.13
"Human Resources Department",Analyst,"Bachelor's Degree","Information Technology",31,8859.39,10779.26
"Data and Analytics Department",Manager,"Master's Degree","Data Analytics",31,9154.32,10685.94
"Product Management Department",Assistant,"Master's Degree","Computer Science",31,8858.71,10643.90
"Finance Department",Assistant,"Doctoral Degree","Business Administration",31,8916.16,10576.29
"Engineering Department",Developer,Diploma,"Business Administration",31,8830.45,10421.00
"Engineering Department",Developer,"Master's Degree",Economics,31,8768.00,10397.03
"Product Management Department",Executive,"Bachelor's Degree",Economics,31,8644.00,10360.81
"Marketing Department",Consultant,"Master's Degree","Data Analytics",31,8645.97,10305.68
"Finance Department",Consultant,"Bachelor's Degree",Economics,31,8675.39,10303.45
"Human Resources Department",Executive,"Master's Degree",Engineering,31,8611.23,10219.90
"Product Management Department",Manager,"Doctoral Degree","Business Administration",31,8510.74,10209.52
"Operations Department",Consultant,"Bachelor's Degree","Computer Science",31,8447.71,10176.81
"Engineering Department",Analyst,"Master's Degree","Data Analytics",31,8542.97,10159.35
"Product Management Department",Consultant,"Bachelor's Degree","Information Technology",31,8414.68,10090.06
"Product Management Department",Manager,"Bachelor's Degree","Information Technology",31,8519.58,10063.45
"Marketing Department",Analyst,"Master's Degree","Data Analytics",31,8264.03,9959.65
"Customer Support Department",Consultant,"Master's Degree","Information Technology",31,8137.71,9951.68
"Engineering Department",Developer,"Bachelor's Degree","Data Analytics",31,8465.10,9943.94
"Operations Department",Manager,"Master's Degree","Data Analytics",31,8087.35,9849.61
"Engineering Department",Developer,"Master's Degree","Information Technology",31,8173.26,9745.94
