Education Record_id,Employee_id,Institution Country,Education Level,institution_name,degree_title,field_of_study,graduation_date
47,47,Ghana,Doctoral Degree,University of Cape Coast,PhD,Business Administration,1997-06-30
48,48,United States,Bachelor's Degree,Massachusetts Institute of Technology,BSc,Economics,2013-06-30
49,49,Ghana,Diploma,University of Ghana,HND,Engineering,2010-06-30
50,50,Ghana,Bachelor's Degree,Ghana Institute of Management and Public Administration,BSc,Computer Science,2003-06-30
51,51,Ghana,Master's Degree,University of Cape Coast,MSc,Business Administration,2024-06-30
52,52,Ghana,Bachelor's Degree,Ashesi University,BSc,Computer Science,2021-06-30
53,53,Ghana,Bachelor's Degree,Kwame Nkrumah University of Science and Technology,BSc,Computer Science,2025-06-30
54,54,Ghana,Diploma,Accra Technical University,HND,Business Administration,1991-06-30
55,55,Ghana,Master's Degree,University of Ghana,MBA,Business Administration,2006-06-30
56,56,Ghana,Doctoral Degree,Kwame Nkrumah University of Science and Technology,PhD,Information Technology,1993-06-30
57,57,Ghana,Doctoral Degree,Accra Technical University,PhD,Data Analytics,2006-06-30
58,58,Ghana,Bachelor's Degree,University of Ghana,BSc,Computer Science,1993-06-30
59,59,Ghana,Bachelor's Degree,University of Ghana,BSc,Computer Science,1990-06-30
60,60,Ghana,Master's Degree,Ghana Institute of Management and Public Administration,MSc,Business Administration,1997-06-30
61,61,Ghana,Master's Degree,Kwame Nkrumah University of Science and Technology,MSc,Computer Science,2019-06-30
62,62,Ghana,Bachelor's Degree,Kwame Nkrumah University of Science and Technology,BA,Business Administration,1995-06-30
63,63,Ghana,Bachelor's Degree,University of Cape Coast,BA,Business Administration,2024-06-30
64,64,Ghana,Diploma,Kwame Nkrumah University of Science and Technology,HND,Economics,2007-06-30
65,65,Ghana,Bachelor's Degree,University of Ghana,BSc,Economics,2025-06-30
66,66,Ghana,Diploma,University of Cape Coast,HND,Engineering,1997-06-30
67,67,Ghana,Diploma,University of Cape Coast,HND,Data Analytics,2002-06-30
68,68,Ghana,Master's Degree,Ashesi University,MSc,Computer Science,2024-06-30
69,69,South Africa,Bachelor's Degree,University of Cape Town,BSc,Data Analytics,2012-06-30
70,70,Ghana,Bachelor's Degree,University of Ghana,BSc,Computer Science,2005-06-30
71,71,United States,Master's Degree,Massachusetts Institute of Technology,MBA,Economics,2019-06-30
72,72,Ghana,Doctoral Degree,Kwame Nkrumah University of Science and Technology,PhD,Economics,2008-06-30
73,73,Ghana,Diploma,Ashesi University,HND,Data Analytics,2025-06-30
74,74,South Africa,Doctoral Degree,University of Cape Town,PhD,Computer Science,2006-06-30
75,75,Canada,Master's Degree,University of Toronto,MBA,Business Administration,2003-06-30
76,76,South Africa,Bachelor's Degree,University of Cape Town,BSc,Economics,2004-06-30
77,77,Canada,Bachelor's Degree,University of Toronto,BSc,Data Analytics,2000-06-30
78,78,Ghana,Doctoral Degree,Kwame Nkrumah University of Science and Technology,PhD,Business Administration,2007-06-30
79,79,Ghana,Master's Degree,University of Ghana,MSc,Information Technology,2014-06-30
80,80,South Africa,Bachelor's Degree,University of Cape Town,BSc,Information Technology,2000-06-30
81,81,South Africa,Doctoral Degree,University of Cape Town,PhD,Information Technology,2013-06-30
82,82,Ghana,Master's Degree,Accra Technical University,MSc,Engineering,2024-06-30
83,83,Ghana,Diploma,University of Ghana,HND,Information Technology,2003-06-30
84,84,United States,Doctoral Degree,Massachusetts Institute of Technology,PhD,Business Administration,2016-06-30
85,85,Ghana,Diploma,University of Cape Coast,HND,Information Technology,2025-06-30
86,86,Ghana,Bachelor's Degree,University of Ghana,BSc,Information Technology,1994-06-30
87,87,Ghana,Bachelor's Degree,University of Cape Coast,BA,Business Administration,1998-06-30
88,88,Ghana,Bachelor's Degree,Kwame Nkrumah University of Science and Technology,BSc,Information Technology,2008-06-30
89,89,Ghana,Bachelor's Degree,Accra Technical University,BSc,Information Technology,2005-06-30
90,90,Ghana,Bachelor's Degree,University of Ghana,BSc,Engineering,2002-06-30
91,91,Ghana,Master's Degree,Kwame Nkrumah University of Science and Technology,MSc,Economics,2019-06-30
92,92,South Africa,Diploma,University of Cape Town,HND,Business Administration,2016-06-30
93,93,Ghana,Master's Degree,Ashesi University,MSc,Business Administration,2023-06-30
94,94,United States,Bachelor's Degree,Massachusetts Institute of Technology,BSc,Engineering,2026-06-30
95,95,United Kingdom,Master's Degree,University of London,MA,Data Analytics,2025-06-30
96,96,South Africa,Master's Degree,University of Cape Town,MSc,Engineering,2025-06-30
97,97,Ghana,Master's Degree,University of Cape Coast,MSc,Computer Science,1999-06-30
98,98,Ghana,Diploma,Accra Technical University,HND,Data Analytics,2002-06-30
99,99,Ghana,Bachelor's Degree,University of Cape Coast,BSc,Economics,1990-06-30
100,100,Ghana,Master's Degree,Accra Technical University,MSc,Information Technology,2025-06-30
101,101,Ghana,Master's Degree,University of Ghana,MSc,Business Administration,2025-06-30
102,102,Ghana,Diploma,Ashesi University,HND,Engineering,2009-06-30
103,103,Ghana,Bachelor's Degree,Ghana Institute of Management and Public Administration,BSc,Computer Science,2002-06-30
104,104,Ghana,Doctoral Degree,Accra Technical University,PhD,Data Analytics,2015-06-30
105,105,Ghana,Bachelor's Degree,Accra Technical University,BSc,Computer Science,2004-06-30
106,106,Ghana,Bachelor's Degree,Accra Technical University,BSc,Computer Science,2016-06-30
107,107,Ghana,Diploma,University of Ghana,HND,Computer Science,2008-06-30
108,108,Ghana,Doctoral Degree,University of Cape Coast,PhD,Economics,2021-06-30
109,109,Ghana,Master's Degree,University of Cape Coast,MSc,Business Administration,2025-06-30
110,110,Ghana,Diploma,Kwame Nkrumah University of Science and Technology,HND,Business Administration,1997-06-30
111,111,Ghana,Master's Degree,Ghana Institute of Management and Public Administration,MBA,Business Administration,1991-06-30
112,112,Ghana,Master's Degree,Accra Technical University,MSc,Engineering,2017-06-30
113,113,Ghana,Master's Degree,Accra Technical University,MBA,Business Administration,1999-06-30
114,114,Ghana,Master's Degree,University of Cape Coast,MSc,Information Technology,2015-06-30
115,115,Ghana,Diploma,Ghana Institute of Management and Public Administration,HND,Business Administration,2006-06-30
116,116,Canada,Doctoral Degree,University of Toronto,PhD,Information Technology,2001-06-30
117,117,Ghana,Doctoral Degree,Accra Technical University,PhD,Information Technology,2010-06-30
118,118,Ghana,Diploma,Accra Technical University,HND,Business Administration,2011-06-30
119,119,South Africa,Bachelor's Degree,University of Cape Town,BSc,Data Analytics,2021-06-30
120,120,South Africa,Bachelor's Degree,University of Cape Town,BSc,Information Technology,2002-06-30
121,121,Ghana,Diploma,Ghana Institute of Management and Public Administration,HND,Computer Science,1995-06-30
122,122,Ghana,Bachelor's Degree,University of Ghana,BSc,Engineering,2011-06-30
123,123,Ghana,Diploma,Ashesi University,HND,Engineering,2001-06-30
124,124,Ghana,Master's Degree,Ashesi University,MSc,Economics,2023-06-30
125,125,Ghana,Bachelor's Degree,Ghana Institute of Management and Public Administration,BSc,Economics,2022-06-30
126,126,Ghana,Master's Degree,Ghana Institute of Management and Public Administration,MSc,Information Technology,2004-06-30
127,127,Ghana,Doctoral Degree,Ashesi University,PhD,Information Technology,2008-06-30
128,128,Ghana,Diploma,Ghana Institute of Management and Public Administration,HND,Information Technology,2011-06-30
129,129,Ghana,Doctoral Degree,Ghana Institute of Management and Public Administration,PhD,Business Administration,2012-06-30
130,130,Canada,Master's Degree,University of Toronto,MPhil,Computer Science,2014-06-30
131,131,Ghana,Master's Degree,Ghana Institute of Management and Public Administration,MSc,Economics,2024-06-30
132,132,Ghana,Doctoral Degree,Kwame Nkrumah University of Science and Technology,PhD,Economics,1994-06-30
133,133,Ghana,Diploma,Kwame Nkrumah University of Science and Technology,HND,Engineering,2011-06-30
134,134,Ghana,Master's Degree,University of Cape Coast,MSc,Business Administration,2026-06-30
135,135,Ghana,Diploma,Kwame Nkrumah University of Science and Technology,HND,Information Technology,1991-06-30
136,136,Ghana,Bachelor's Degree,University of Cape Coast,BSc,Computer Science,1998-06-30
137,137,Canada,Bachelor's Degree,University of Toronto,BSc,Business Administration,2026-06-30
138,138,Ghana,Diploma,University of Ghana,HND,Data Analytics,2023-06-30
139,139,Ghana,Diploma,Ghana Institute of Management and Public Administration,HND,Data Analytics,2013-06-30
140,140,Ghana,Doctoral Degree,Ghana Institute of Management and Public Administration,PhD,Information Technology,2005-06-30
141,141,Ghana,Bachelor's Degree,Kwame Nkrumah University of Science and Technology,BA,Business Administration,2005-06-30
142,142,United States,Master's Degree,Massachusetts Institute of Technology,MSc,Engineering,2025-06-30
143,143,Ghana,Bachelor's Degree,Accra Technical University,BSc,Data Analytics,2022-06-30
144,144,Ghana,Master's Degree,University of Cape Coast,MSc,Engineering,2003-06-30
145,145,Ghana,Bachelor's Degree,Ashesi University,BSc,Business Administration,2018-06-30
146,146,Ghana,Bachelor's Degree,Ghana Institute of Management and Public Administration,BSc,Computer Science,2006-06-30
147,147,Ghana,Diploma,University of Ghana,HND,Information Technology,2001-06-30
148,148,South Africa,Master's Degree,University of Cape Town,MBA,Business Administration,2003-06-30
149,149,Ghana,Master's Degree,University of Cape Coast,MSc,Business Administration,1992-06-30
150,150,Canada,Bachelor's Degree,University of Toronto,BSc,Business Administration,1994-06-30
151,151,South Africa,Bachelor's Degree,University of Cape Town,BSc,Economics,2009-06-30
152,152,Ghana,Master's Degree,Ashesi University,MBA,Information Technology,1989-06-30
153,153,Ghana,Doctoral Degree,Kwame Nkrumah University of Science and Technology,PhD,Business Administration,2018-06-30
154,154,Ghana,Doctoral Degree,Accra Technical University,PhD,Information Technology,2009-06-30
155,155,Ghana,Bachelor's Degree,Accra Technical University,BA,Business Administration,2014-06-30
156,156,Ghana,Master's Degree,Kwame Nkrumah University of Science and Technology,MBA,Business Administration,2001-06-30
157,157,Ghana,Master's Degree,Ghana Institute of Management and Public Administration,MBA,Information Technology,2002-06-30
158,158,Ghana,Master's Degree,Accra Technical University,MSc,Engineering,2022-06-30
159,159,United States,Bachelor's Degree,Massachusetts Institute of Technology,BSc,Engineering,2004-06-30
160,160,Ghana,Bachelor's Degree,University of Ghana,BSc,Engineering,2007-06-30
161,161,Ghana,Bachelor's Degree,Ashesi University,BSc,Economics,2005-06-30
162,162,Ghana,Bachelor's Degree,Accra Technical University,BSc,Engineering,2025-06-30
163,163,Ghana,Master's Degree,Accra Technical University,MBA,Information Technology,2014-06-30
164,164,United Kingdom,Bachelor's Degree,University of London,BSc,Data Analytics,2016-06-30
165,165,Ghana,Master's Degree,Accra Technical University,MSc,Information Technology,2015-06-30
166,166,Ghana,Bachelor's Degree,University of Ghana,BA,Business Administration,2024-06-30
167,167,Ghana,Bachelor's Degree,Kwame Nkrumah University of Science and Technology,BA,Business Administration,2014-06-30
168,168,Ghana,Master's Degree,Ghana Institute of Management and Public Administration,MBA,Data Analytics,1995-06-30
169,169,Ghana,Doctoral Degree,Accra Technical University,PhD,Business Administration,1999-06-30
170,170,Ghana,Master's Degree,Ashesi University,MBA,Business Administration,1990-06-30
171,171,Ghana,Master's Degree,Accra Technical University,MBA,Data Analytics,2025-06-30
172,172,United Kingdom,Bachelor's Degree,University of London,BSc,Business Administration,2021-06-30
173,173,Ghana,Master's Degree,University of Cape Coast,MSc,Business Administration,1998-06-30
174,174,Ghana,Bachelor's Degree,University of Ghana,BA,Business Administration,2014-06-30
175,175,Ghana,Master's Degree,University of Cape Coast,MBA,Business Administration,2014-06-30
176,176,Ghana,Bachelor's Degree,Accra Technical University,BSc,Business Administration,2018-06-30
177,177,Ghana,Master's Degree,Ghana Institute of Management and Public Administration,MPhil,Computer Science,1991-06-30
178,178,Canada,Bachelor's Degree,University of Toronto,BSc,Business Administration,2008-06-30
179,179,Ghana,Diploma,Ghana Institute of Management and Public Administration,HND,Information Technology,2025-06-30
180,180,Ghana,Master's Degree,Kwame Nkrumah University of Science and Technology,MSc,Information Technology,2014-06-30
181,181,Ghana,Diploma,Accra Technical University,HND,Information Technology,1991-06-30
182,182,Ghana,Master's Degree,Ghana Institute of Management and Public Administration,MA,Data Analytics,1995-06-30
183,183,United States,Diploma,Massachusetts Institute of Technology,HND,Economics,2023-06-30
184,184,Ghana,Bachelor's Degree,University of Ghana,BSc,Data Analytics,2003-06-30
185,185,Ghana,Diploma,Kwame Nkrumah University of Science and Technology,HND,Business Administration,2021-06-30
186,186,Ghana,Bachelor's Degree,Kwame Nkrumah University of Science and Technology,BSc,Computer Science,1997-06-30
187,187,Ghana,Bachelor's Degree,University of Ghana,BSc,Computer Science,2023-06-30
188,188,Ghana,Bachelor's Degree,Accra Technical University,BSc,Economics,1992-06-30
189,189,United States,Master's Degree,Massachusetts Institute of Technology,MBA,Economics,2000-06-30
190,190,Canada,Doctoral Degree,University of Toronto,PhD,Data Analytics,2013-06-30
191,191,Ghana,Master's Degree,University of Cape Coast,MSc,Economics,2004-06-30
192,192,Ghana,Master's Degree,Ghana Institute of Management and Public Administration,MBA,Economics,2019-06-30
193,193,Ghana,Master's Degree,Ashesi University,MBA,Data Analytics,2025-06-30
194,194,Ghana,Bachelor's Degree,Ashesi University,BSc,Information Technology,2024-06-30
195,195,Ghana,Master's Degree,University of Ghana,MA,Data Analytics,2007-06-30
196,196,Ghana,Diploma,Ghana Institute of Management and Public Administration,HND,Business Administration,2008-06-30
197,197,Ghana,Master's Degree,University of Cape Coast,MBA,Information Technology,2002-06-30
198,198,United States,Master's Degree,Massachusetts Institute of Technology,MSc,Computer Science,2019-06-30
199,199,Ghana,Bachelor's Degree,Ghana Institute of Management and Public Administration,BSc,Information Technology,1998-06-30
200,200,Canada,Master's Degree,University of Toronto,MPhil,Engineering,2022-06-30
201,201,Ghana,Doctoral Degree,Accra Technical University,PhD,Information Technology,2009-06-30
202,202,United Kingdom,Master's Degree,University of London,MSc,Business Administration,2011-06-30
203,203,Ghana,Master's Degree,Ashesi University,MBA,Economics,2007-06-30
204,204,Ghana,Master's Degree,Kwame Nkrumah University of Science and Technology,MPhil,Computer Science,2001-06-30
205,205,Ghana,Master's Degree,University of Ghana,MBA,Business Administration,2001-06-30
206,206,Ghana,Bachelor's Degree,University of Ghana,BA,Business Administration,2019-06-30
207,207,Ghana,Doctoral Degree,University of Cape Coast,PhD,Engineering,1999-06-30
208,208,Ghana,Bachelor's Degree,Accra Technical University,BSc,Economics,2022-06-30
209,209,Ghana,Bachelor's Degree,University of Ghana,BSc,Data Analytics,2024-06-30
210,210,Ghana,Master's Degree,University of Cape Coast,MA,Business Administration,2011-06-30
211,211,Canada,Bachelor's Degree,University of Toronto,BSc,Engineering,1990-06-30
212,212,United States,Diploma,Massachusetts Institute of Technology,HND,Computer Science,2019-06-30
213,213,Ghana,Master's Degree,Kwame Nkrumah University of Science and Technology,MSc,Business Administration,2020-06-30
214,214,Ghana,Bachelor's Degree,Ghana Institute of Management and Public Administration,BSc,Data Analytics,2012-06-30
215,215,Canada,Bachelor's Degree,University of Toronto,BSc,Computer Science,2003-06-30
216,216,Ghana,Master's Degree,University of Cape Coast,MPhil,Engineering,1999-06-30
217,217,Ghana,Diploma,Kwame Nkrumah University of Science and Technology,HND,Computer Science,2018-06-30
218,218,Ghana,Master's Degree,Ashesi University,MSc,Computer Science,2016-06-30
219,219,Ghana,Doctoral Degree,University of Cape Coast,PhD,Data Analytics,2021-06-30
220,220,South Africa,Diploma,University of Cape Town,HND,Information Technology,2026-06-30
221,221,Ghana,Master's Degree,Ashesi University,MSc,Engineering,2012-06-30
222,222,South Africa,Master's Degree,University of Cape Town,MSc,Data Analytics,2025-06-30
223,223,Canada,Master's Degree,University of Toronto,MBA,Business Administration,2003-06-30
224,224,United Kingdom,Master's Degree,University of London,MPhil,Computer Science,1997-06-30
225,225,United Kingdom,Master's Degree,University of London,MSc,Computer Science,2007-06-30
226,226,Ghana,Bachelor's Degree,Kwame Nkrumah University of Science and Technology,BSc,Engineering,2001-06-30
227,227,Ghana,Master's Degree,Ghana Institute of Management and Public Administration,MPhil,Engineering,2004-06-30
228,228,Ghana,Master's Degree,Kwame Nkrumah University of Science and Technology,MBA,Business Administration,2026-06-30
229,229,Ghana,Diploma,University of Cape Coast,HND,Data Analytics,2011-06-30
230,230,United Kingdom,Diploma,University of London,HND,Information Technology,2008-06-30
231,231,Ghana,Bachelor's Degree,University of Cape Coast,BA,Business Administration,2018-06-30
232,232,Canada,Master's Degree,University of Toronto,MA,Business Administration,2008-06-30
233,233,United States,Bachelor's Degree,Massachusetts Institute of Technology,BSc,Data Analytics,1994-06-30
234,234,Ghana,Diploma,University of Cape Coast,HND,Economics,2003-06-30
235,235,United Kingdom,Diploma,University of London,HND,Economics,2010-06-30
236,236,Ghana,Master's Degree,University of Cape Coast,MSc,Business Administration,1999-06-30
237,237,Ghana,Master's Degree,Ashesi University,MBA,Business Administration,1998-06-30
238,238,Ghana,Master's Degree,University of Ghana,MSc,Engineering,2025-06-30
239,239,Ghana,Master's Degree,Ghana Institute of Management and Public Administration,MSc,Economics,2023-06-30
240,240,Ghana,Bachelor's Degree,University of Ghana,BSc,Computer Science,2020-06-30
241,241,Ghana,Doctoral Degree,Ashesi University,PhD,Data Analytics,2015-06-30
242,242,Ghana,Doctoral Degree,Accra Technical University,PhD,Business Administration,2020-06-30
243,243,Ghana,Master's Degree,Kwame Nkrumah University of Science and Technology,MBA,Data Analytics,2017-06-30
244,244,Ghana,Master's Degree,Kwame Nkrumah University of Science and Technology,MPhil,Engineering,2007-06-30
245,245,Ghana,Master's Degree,University of Ghana,MSc,Computer Science,1993-06-30
246,246,Ghana,Bachelor's Degree,University of Cape Coast,BSc,Data Analytics,2025-06-30
247,247,Ghana,Master's Degree,Ashesi University,MBA,Economics,1996-06-30
248,248,Ghana,Bachelor's Degree,University of Ghana,BA,Business Administration,2025-06-30
249,249,Ghana,Diploma,University of Ghana,HND,Economics,2008-06-30
250,250,Ghana,Bachelor's Degree,University of Ghana,BSc,Computer Science,1989-06-30
251,251,South Africa,Doctoral Degree,University of Cape Town,PhD,Economics,2004-06-30
252,252,Ghana,Diploma,University of Cape Coast,HND,Information Technology,2016-06-30
253,253,Ghana,Doctoral Degree,Ashesi University,PhD,Computer Science,2018-06-30
254,254,Ghana,Diploma,Kwame Nkrumah University of Science and Technology,HND,Business Administration,2024-06-30
255,255,Ghana,Master's Degree,University of Ghana,MPhil,Engineering,1999-06-30
256,256,Ghana,Bachelor's Degree,Ghana Institute of Management and Public Administration,BA,Business Administration,2000-06-30
257,257,Ghana,Doctoral Degree,University of Ghana,PhD,Data Analytics,2011-06-30
258,258,Ghana,Diploma,University of Cape Coast,HND,Business Administration,2017-06-30
259,259,Ghana,Bachelor's Degree,University of Cape Coast,BSc,Economics,2024-06-30
260,260,Ghana,Diploma,Accra Technical University,HND,Engineering,2026-06-30
261,261,Ghana,Bachelor's Degree,Kwame Nkrumah University of Science and Technology,BSc,Computer Science,1994-06-30
262,262,Ghana,Doctoral Degree,University of Cape Coast,PhD,Information Technology,2008-06-30
263,263,Ghana,Doctoral Degree,University of Cape Coast,PhD,Computer Science,2019-06-30
264,264,Ghana,Master's Degree,University of Ghana,MPhil,Engineering,2004-06-30
265,265,Ghana,Bachelor's Degree,University of Ghana,BSc,Business Administration,2008-06-30
266,266,Ghana,Bachelor's Degree,Ghana Institute of Management and Public Administration,BSc,Information Technology,1994-06-30
267,267,Ghana,Bachelor's Degree,Accra Technical University,BSc,Information Technology,2002-06-30
268,268,Ghana,Bachelor's Degree,Ghana Institute of Management and Public Administration,BSc,Business Administration,2023-06-30
269,269,Ghana,Doctoral Degree,Accra Technical University,PhD,Business Administration,2020-06-30
270,270,Ghana,Diploma,Ghana Institute of Management and Public Administration,HND,Computer Science,2016-06-30
271,271,Ghana,Master's Degree,Ashesi University,MPhil,Engineering,2007-06-30
272,272,Ghana,Master's Degree,University of Ghana,MSc,Economics,2025-06-30
273,273,Ghana,Master's Degree,University of Ghana,MBA,Data Analytics,2015-06-30
274,274,Ghana,Bachelor's Degree,Accra Technical University,BSc,Engineering,2015-06-30
275,275,Ghana,Doctoral Degree,University of Ghana,PhD,Business Administration,2000-06-30
276,276,South Africa,Diploma,University of Cape Town,HND,Business Administration,2023-06-30
277,277,Ghana,Bachelor's Degree,Ashesi University,BSc,Engineering,2019-06-30
278,278,Ghana,Doctoral Degree,Kwame Nkrumah University of Science and Technology,PhD,Economics,2010-06-30
279,279,Ghana,Bachelor's Degree,University of Cape Coast,BSc,Computer Science,2025-06-30
280,280,United States,Diploma,Massachusetts Institute of Technology,HND,Economics,1994-06-30
281,281,Ghana,Master's Degree,University of Ghana,MA,Data Analytics,2002-06-30
282,282,Ghana,Bachelor's Degree,Kwame Nkrumah University of Science and Technology,BSc,Business Administration,2026-06-30
283,283,Ghana,Bachelor's Degree,University of Cape Coast,BSc,Economics,1989-06-30
284,284,Ghana,Bachelor's Degree,University of Cape Coast,BSc,Computer Science,2025-06-30
285,285,United States,Master's Degree,Massachusetts Institute of Technology,MSc,Information Technology,2003-06-30
286,286,Ghana,Bachelor's Degree,Ghana Institute of Management and Public Administration,BA,Business Administration,2024-06-30
287,287,Ghana,Diploma,Kwame Nkrumah University of Science and Technology,HND,Business Administration,2016-06-30
288,288,Ghana,Master's Degree,Kwame Nkrumah University of Science and Technology,MSc,Business Administration,2026-06-30
289,289,Canada,Doctoral Degree,University of Toronto,PhD,Information Technology,1999-06-30
290,290,Ghana,Master's Degree,Kwame Nkrumah University of Science and Technology,MSc,Data Analytics,2025-06-30
291,291,Ghana,Master's Degree,Kwame Nkrumah University of Science and Technology,MSc,Engineering,2024-06-30
292,292,South Africa,Doctoral Degree,University of Cape Town,PhD,Business Administration,2020-06-30
293,293,Ghana,Bachelor's Degree,Kwame Nkrumah University of Science and Technology,BSc,Business Administration,1998-06-30
294,294,Ghana,Bachelor's Degree,Kwame Nkrumah University of Science and Technology,BSc,Data Analytics,2010-06-30
295,295,Ghana,Bachelor's Degree,Accra Technical University,BSc,Business Administration,2014-06-30
296,296,United States,Diploma,Massachusetts Institute of Technology,HND,Business Administration,2020-06-30
297,297,Ghana,Doctoral Degree,University of Cape Coast,PhD,Data Analytics,1992-06-30
298,298,United Kingdom,Bachelor's Degree,University of London,BSc,Computer Science,1993-06-30
299,299,United Kingdom,Master's Degree,University of London,MPhil,Engineering,2026-06-30
300,300,Ghana,Master's Degree,Accra Technical University,MBA,Information Technology,2023-06-30
301,301,Ghana,Master's Degree,Ashesi University,MPhil,Engineering,2012-06-30
302,302,United States,Master's Degree,Massachusetts Institute of Technology,MSc,Economics,2009-06-30
303,303,Ghana,Bachelor's Degree,University of Ghana,BA,Business Administration,2012-06-30
304,304,Ghana,Master's Degree,Ghana Institute of Management and Public Administration,MBA,Information Technology,2012-06-30
305,305,Ghana,Diploma,Kwame Nkrumah University of Science and Technology,HND,Engineering,2007-06-30
306,306,Ghana,Master's Degree,Accra Technical University,MBA,Business Administration,2000-06-30
307,307,Ghana,Diploma,Ashesi University,HND,Data Analytics,2017-06-30
308,308,Ghana,Doctoral Degree,Kwame Nkrumah University of Science and Technology,PhD,Information Technology,1993-06-30
309,309,Ghana,Bachelor's Degree,University of Cape Coast,BSc,Data Analytics,2022-06-30
310,310,Ghana,Master's Degree,Kwame Nkrumah University of Science and Technology,MSc,Information Technology,1999-06-30
311,311,Ghana,Bachelor's Degree,University of Ghana,BSc,Computer Science,2011-06-30
312,312,South Africa,Diploma,University of Cape Town,HND,Information Technology,2020-06-30
313,313,Ghana,Doctoral Degree,Accra Technical University,PhD,Economics,2002-06-30
314,314,Ghana,Master's Degree,Ghana Institute of Management and Public Administration,MA,Business Administration,2026-06-30
315,315,Ghana,Doctoral Degree,University of Ghana,PhD,Business Administration,2020-06-30
316,316,Ghana,Bachelor's Degree,University of Cape Coast,BSc,Business Administration,2026-06-30
