employee_id,year,performance_score,projects_completed,training_hours,attendance_rate ,bonus_awarded
73,2025,4.51,4,55,86.65,No
74,2021,4.01,7,52,85.33,Yes
74,2022,3.7,10,69,91.46,No
74,2023,4.1,4,47,95.23,No
74,2024,4.19,9,50,96.4,No
74,2025,4.26,3,57,93.26,No
75,2021,4.32,8,78,99.55,No
75,2022,4.29,9,59,93.46,Yes
75,2023,4.24,9,71,86.37,No
75,2024,4.31,4,73,85.34,No
75,2025,4.55,1,78,90.35,No
76,2021,3.99,6,41,90.18,Yes
76,2022,4.03,2,39,94.96,No
76,2023,4.06,7,44,91.09,No
76,2024,4.15,8,29,89.06,No
76,2025,4,8,31,87.36,Yes
77,2021,3.67,3,90,90.45,No
77,2022,4.05,4,85,94.44,No
77,2023,3.72,3,81,87.31,Yes
77,2024,3.79,6,78,91.19,Yes
77,2025,3.68,9,79,85.83,Yes
78,2021,3.88,5,85,91.06,No
78,2022,3.76,5,70,97.5,No
78,2023,3.52,1,70,98.12,No
78,2024,3.97,9,74,94.84,Yes
78,2025,4.02,4,86,90.38,No
79,2021,3.96,10,48,94.19,No
79,2022,3.74,9,26,92.38,Yes
79,2023,4.16,6,34,91.72,Yes
79,2024,3.65,2,41,89.66,No
79,2025,3.58,7,39,98.27,No
80,2021,2.67,6,68,85.63,No
80,2022,2.87,10,74,95.19,No
80,2023,3.09,1,67,93.74,No
80,2024,2.44,6,70,96.04,Yes
80,2025,2.86,3,55,89.04,No
81,2021,4.42,5,34,86.27,Yes
81,2022,4.55,8,59,98.85,Yes
81,2023,4.32,9,31,87.87,Yes
81,2024,4.55,3,53,98.28,Yes
81,2025,4.38,4,50,86.89,No
82,2021,4.08,10,52,89.02,No
82,2022,4.35,7,67,85.02,No
82,2023,4.13,10,72,90,No
82,2024,3.96,3,69,87.28,No
82,2025,4.66,7,77,95.28,No
83,2021,3.08,2,43,97.99,No
83,2022,2.78,2,22,98.81,No
83,2023,2.52,7,19,93.8,Yes
83,2024,3.06,4,44,90.13,No
83,2025,3.01,5,49,87.49,No
84,2021,2.72,5,33,86.27,Yes
84,2022,2.57,5,37,96.61,Yes
84,2023,3.07,9,33,96.6,Yes
84,2024,3.12,8,38,92.23,No
84,2025,3.23,3,30,94.56,Yes
85,2021,3.45,4,47,85.71,No
85,2022,3.06,2,62,88.04,Yes
85,2023,3.2,9,70,88.72,Yes
85,2024,3.35,1,55,92.41,Yes
85,2025,3.37,8,47,91.06,Yes
86,2021,3.06,6,46,94.92,Yes
86,2022,2.54,3,74,86.13,No
86,2023,2.67,9,60,93.3,Yes
86,2024,2.89,6,74,95.05,No
86,2025,2.89,2,53,92.1,Yes
87,2021,2.95,2,25,85.55,Yes
87,2022,3.22,8,36,92.28,Yes
87,2023,3.11,10,41,93.04,No
87,2024,3.47,5,30,98.46,No
87,2025,3.26,7,46,92.64,No
88,2021,4.14,2,16,99.81,No
88,2022,4.16,2,33,88.4,No
88,2023,4.79,5,29,88.22,No
88,2024,4.22,6,15,85.92,No
88,2025,4.52,10,21,97.48,Yes
89,2021,4.03,8,66,98.59,No
89,2022,3.99,5,64,95.83,Yes
89,2023,3.88,7,54,99.37,No
89,2024,3.54,4,66,88.52,No
89,2025,4.11,1,64,92.19,No
90,2021,3.43,7,42,97.43,No
90,2022,3.51,1,15,93.11,Yes
90,2023,3.69,4,37,90.3,No
90,2024,3.7,4,26,96.33,No
90,2025,3.33,2,24,96.03,No
91,2021,4.56,10,37,99.76,No
91,2022,4.66,8,46,86.01,Yes
91,2023,4.32,5,19,88.64,No
91,2024,4.75,1,36,85.43,No
91,2025,4.9,6,25,96.93,Yes
92,2021,2.73,3,49,87.95,Yes
92,2022,2.36,5,29,92.24,No
92,2023,2.94,9,27,96.48,No
92,2024,3.04,3,40,91.5,Yes
92,2025,2.48,10,43,99.79,No
93,2021,4.29,9,75,91.22,No
93,2022,3.78,10,80,89.47,No
93,2023,4.26,3,82,90.29,Yes
93,2024,3.96,2,93,99.41,Yes
93,2025,4.16,5,95,96.77,No
94,2021,2.81,4,80,95.37,No
94,2022,3.58,8,73,92.48,No
94,2023,3.26,9,62,92.04,No
94,2024,3.08,10,67,91.19,No
94,2025,3.26,9,62,99.94,No
95,2021,3.52,7,66,97.58,No
95,2022,3.64,3,64,89.95,No
95,2023,3.34,5,72,99.5,Yes
95,2024,3.74,3,65,86.12,Yes
95,2025,3.7,7,62,95.52,No
96,2021,3.93,2,40,99.85,No
96,2022,4.11,9,57,89.45,No
96,2023,4.27,7,42,93.52,No
96,2024,4.09,3,36,87.47,No
96,2025,3.6,6,39,94.5,Yes
97,2021,3.78,5,24,87.25,No
97,2022,4.47,2,37,95.36,Yes
97,2023,3.94,2,31,92.44,Yes
97,2024,3.85,4,25,95.52,No
97,2025,4.38,2,36,94.94,Yes
98,2021,3.82,1,69,94.09,No
98,2022,3.88,2,93,96.53,Yes
98,2023,3.72,10,84,86.34,Yes
98,2024,3.87,1,84,90.34,No
98,2025,3.61,8,72,85.54,No
99,2021,2.8,7,19,95.14,No
99,2022,2.97,3,27,96.34,No
99,2023,3.26,10,16,99.6,Yes
99,2024,2.83,1,24,98.39,Yes
99,2025,2.88,10,36,99.69,No
100,2021,3.96,10,85,90.7,Yes
100,2022,3.58,8,63,96.27,No
100,2023,3.94,9,58,93.7,No
100,2024,3.86,1,86,98.45,Yes
100,2025,3.43,4,85,94.29,Yes
101,2021,2.77,3,37,94.76,Yes
101,2022,3.07,9,32,90.19,No
101,2023,3.45,9,31,91.83,No
101,2024,2.81,9,36,86.72,Yes
101,2025,3.44,7,30,96.61,Yes
102,2021,3.61,10,25,99.52,Yes
102,2022,3.49,1,30,88.75,Yes
102,2023,3.81,1,35,95.62,No
102,2024,3.79,4,23,87.69,No
102,2025,4.08,1,13,97.49,No
103,2021,2.49,1,36,91.33,No
103,2022,2.99,1,58,97.3,Yes
103,2023,2.38,4,63,90.4,Yes
103,2024,2.85,9,50,96.57,Yes
103,2025,2.91,5,62,91.47,No
104,2021,3.21,4,69,91.29,No
104,2022,3.43,7,70,95.62,Yes
104,2023,3.76,1,63,96.68,No
104,2024,3.28,3,68,93.87,No
104,2025,3.77,4,67,98.81,Yes
105,2021,3.86,5,68,85.16,No
105,2022,3.78,2,54,94.34,No
105,2023,3.66,6,63,91.04,Yes
105,2024,3.33,10,42,92.91,No
105,2025,3.65,9,44,92.4,No
106,2021,4.44,1,22,95.15,Yes
106,2022,4.23,8,45,94.9,Yes
106,2023,4.23,4,17,90.96,Yes
106,2024,4.11,10,20,86.99,No
106,2025,4.34,7,40,90.85,No
107,2021,2.58,2,34,96.56,Yes
107,2022,2.42,2,36,95.05,Yes
107,2023,2.53,5,21,92.42,No
107,2024,2.77,7,19,93.57,Yes
107,2025,2.89,7,45,94.77,No
108,2021,4.18,2,43,94.59,No
108,2022,4.52,8,45,98.37,No
108,2023,4.72,9,58,93.64,No
108,2024,4.42,8,46,94.57,Yes
108,2025,4.09,4,43,91.2,No
109,2021,3.4,5,41,93.37,Yes
109,2022,3.23,1,33,92.29,Yes
109,2023,3.32,5,33,87.89,No
109,2024,2.83,9,15,98.84,No
109,2025,2.96,9,15,96.52,No
110,2021,2.99,7,43,96.66,Yes
110,2022,3.36,5,39,97.38,No
110,2023,2.9,8,47,87.3,No
110,2024,3.31,5,36,88.19,Yes
110,2025,2.88,8,51,87.18,Yes
111,2021,2.81,2,40,85.7,No
111,2022,3.04,7,25,87.54,Yes
111,2023,2.5,9,14,93.64,Yes
111,2024,2.74,2,26,86.68,No
111,2025,3.07,10,43,93.59,Yes
112,2021,2.67,10,55,93.32,No
112,2022,2.95,4,60,95.46,Yes
112,2023,2.65,1,61,90.9,Yes
112,2024,2.79,8,61,93.17,Yes
112,2025,2.67,4,45,96.41,Yes
113,2021,4.38,4,50,87.87,No
113,2022,4.47,7,45,97.72,Yes
113,2023,3.9,3,41,89.44,Yes
113,2024,4.37,2,37,89.69,Yes
113,2025,4.01,6,35,96.55,Yes
114,2021,3.56,6,85,97.08,No
114,2022,3.26,5,83,94.04,No
114,2023,3.6,10,62,96.96,No
114,2024,2.97,6,78,90.02,No
114,2025,3.45,3,78,86.21,Yes
115,2021,4.33,5,41,93.86,Yes
115,2022,3.96,10,34,97.74,Yes
115,2023,3.67,6,31,93.44,No
115,2024,3.86,4,37,90.42,Yes
115,2025,3.71,9,57,91.36,No
116,2021,2.58,5,23,95.24,No
116,2022,2.77,1,34,92.67,No
116,2023,2.4,6,33,86.89,No
116,2024,2.88,1,22,94.82,Yes
116,2025,3.11,10,36,91.84,No
117,2021,4.44,3,49,89.28,Yes
117,2022,4.73,8,53,91.11,No
117,2023,4.54,8,48,85.11,Yes
117,2024,4.51,9,30,97.08,Yes
117,2025,4.41,10,41,99.28,Yes
118,2021,2.73,6,15,89.18,Yes
118,2022,3.17,8,27,92.55,No
118,2023,2.73,3,30,93.7,Yes
118,2024,2.82,8,28,96.04,No
118,2025,2.46,5,13,95.01,Yes
119,2021,4.23,4,64,95.81,No
119,2022,3.94,5,54,99.25,No
119,2023,4.29,8,73,87.74,No
119,2024,4.14,6,83,99.08,Yes
119,2025,4.45,5,76,85.6,No
120,2021,3.33,5,71,88.1,No
120,2022,3.95,8,78,94.66,No
120,2023,3.77,9,89,88.95,No
120,2024,3.64,3,87,91.65,Yes
120,2025,3.41,2,85,90.83,No
121,2021,4.41,3,77,99.48,No
121,2022,3.71,6,73,96.78,Yes
121,2023,4.19,9,51,89.32,Yes
121,2024,4.46,4,52,95.65,Yes
121,2025,3.76,4,53,90.9,No
122,2021,3.09,5,57,94.23,No
122,2022,3.73,8,56,92.17,No
122,2023,3.79,3,37,86.06,Yes
122,2024,3.12,9,53,90.44,Yes
122,2025,3.12,3,51,99.29,Yes
123,2021,3.08,3,87,85.47,No
123,2022,2.56,8,62,96.37,No
123,2023,3.15,6,60,98.82,No
123,2024,2.58,7,67,87.59,Yes
123,2025,3.08,4,63,94.99,Yes
124,2021,4.41,8,31,89.69,No
124,2022,4.64,10,31,95.82,No
124,2023,4.16,4,34,89.76,Yes
124,2024,4.76,2,37,92.53,Yes
124,2025,4.56,9,54,99.46,Yes
125,2021,3.77,10,30,89.43,Yes
125,2022,3.69,8,33,90.25,Yes
125,2023,3.47,5,46,85.78,Yes
125,2024,4.25,3,40,97.1,No
125,2025,3.59,7,34,87.94,Yes
126,2021,4.77,5,60,97.32,No
126,2022,4.75,8,50,98.13,Yes
126,2023,4.52,1,57,89.09,Yes
126,2024,4.79,7,50,91.97,Yes
126,2025,4.01,9,56,97.84,Yes
127,2021,3.45,10,41,88.84,Yes
127,2022,3.81,3,53,99.06,No
127,2023,3.12,5,38,89.54,No
127,2024,3.24,7,48,94.19,No
127,2025,3.86,8,56,97.34,No
128,2021,3.31,1,74,98.65,No
128,2022,3.6,2,63,87.61,No
128,2023,3.86,5,70,91.27,No
128,2024,3.65,2,85,89.06,No
128,2025,4.01,3,91,90.06,Yes
129,2021,4.41,9,45,92.03,No
129,2022,3.84,8,71,88.46,Yes
129,2023,4.44,5,64,85.31,Yes
129,2024,3.94,8,60,88.74,Yes
129,2025,4,4,57,94.34,No
130,2021,2.45,1,27,85.22,No
130,2022,3.16,5,38,89.66,No
130,2023,2.9,1,23,89.93,Yes
130,2024,2.46,9,24,97.1,No
130,2025,2.52,9,46,94.17,Yes
131,2021,3.77,8,74,90.87,No
131,2022,4.44,6,81,96.41,Yes
131,2023,4.27,8,72,86.81,Yes
131,2024,4.13,3,75,86.4,No
131,2025,3.95,10,73,89.75,No
132,2021,3.78,10,55,89.72,No
132,2022,3.4,7,84,97.73,Yes
132,2023,3.49,2,78,98.53,No
132,2024,3.24,7,56,94.63,No
132,2025,3.96,2,67,98.7,Yes
133,2021,4.46,6,28,97.6,Yes
133,2022,4.41,2,46,97.88,Yes
133,2023,3.93,6,25,89.55,No
133,2024,4.64,5,45,92.05,No
133,2025,4.02,2,31,91.59,Yes
134,2021,4.13,1,90,92.68,Yes
134,2022,4.28,7,63,88.42,No
134,2023,3.86,4,81,86.8,No
134,2024,4.12,8,87,86.48,No
134,2025,4.38,3,70,88.55,No
135,2021,4.72,6,76,99.02,Yes
135,2022,4.53,2,71,88.76,Yes
135,2023,4.65,7,59,85.75,Yes
135,2024,4.24,9,84,97.67,No
135,2025,4.28,10,61,91.75,Yes
136,2021,3.41,8,58,89.16,Yes
136,2022,3.4,4,65,96.78,No
136,2023,3.04,5,63,98.78,Yes
136,2024,3.31,5,67,91.14,No
136,2025,3.4,9,61,90.72,No
137,2021,4.38,6,56,86.84,No
137,2022,4.25,2,34,85.58,No
137,2023,4.56,10,45,98.55,Yes
137,2024,4.62,1,37,91.97,Yes
137,2025,4.16,9,40,91.02,No
138,2021,4.61,4,46,86.96,No
138,2022,4.02,10,37,86.5,Yes
138,2023,4.69,8,46,93.9,Yes
138,2024,4.33,4,47,98.92,Yes
138,2025,4.58,4,36,96.43,No
139,2021,4.29,5,46,89.6,No
139,2022,4.13,2,55,86.94,No
139,2023,4.45,4,38,94.31,Yes
139,2024,4.84,5,44,89.32,No
139,2025,4.14,10,55,85.09,No
140,2021,3.34,10,73,87.02,No
140,2022,3.79,4,58,96.34,Yes
140,2023,3.38,7,82,90.87,Yes
140,2024,3.29,1,66,87.8,Yes
140,2025,3.53,6,58,99.53,Yes
